OBJECTID,Cn_Name,GlobalID,ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,x,y
1639,Ye Enguela Ye Ato Tadese G/meskel,{A3AFDA47-1F1C-4974-A117-07EC74B3DBED},Asgede,ET010105,North Western,ET0101,Tigray,ET01,38.138427,14.110940
1640,Ye Enguela Ye Ato Brhane Atalay,{B34A0950-703F-461D-9306-BF931887B6F3},Asgede,ET010105,North Western,ET0101,Tigray,ET01,38.139480,14.109723
1641,Ye Enguela Ye Halka Tesgay Meles,{ED4EF077-DC24-41D0-A949-4FF74C5EE647},Asgede,ET010105,North Western,ET0101,Tigray,ET01,38.142112,14.108878
1642,Ye Enguela Ye Ato Guesh W/chal,{D4007F46-EB75-41FA-A59A-7F08DB99B02A},Asgede,ET010105,North Western,ET0101,Tigray,ET01,38.141133,14.108332
1643,TESFAHUNEY KNFE ARAYA,{104C0E5F-03FE-4462-AEA5-A562C184CCD4},Asgede,ET010105,North Western,ET0101,Tigray,ET01,37.955683,14.025538
1644,FISSHA GEBRIHET,{8FD9F64C-644D-48CA-ADDA-9E26CCFDBE63},Asgede,ET010105,North Western,ET0101,Tigray,ET01,37.955978,14.024800
1645,TESFAY G|MEDHN,{41191367-CBE7-4260-8A61-3B3DDAC02AD1},Asgede,ET010105,North Western,ET0101,Tigray,ET01,37.948758,14.015715
1646,WELEABEZGI DEBEB,{AB781F0C-2723-4C00-89D6-0ABFAD39C324},Asgede,ET010105,North Western,ET0101,Tigray,ET01,37.947730,14.015445
1647,M|teuo Wendyeferaw Gebera,{CE0F881A-7DD6-4BE4-94CA-7D29FF883A05},Asgede,ET010105,North Western,ET0101,Tigray,ET01,38.048320,13.997563
1648,Yato Terkegn,{7D2B73A2-7E6C-4B4C-BBEB-428331E8507F},Asgede,ET010105,North Western,ET0101,Tigray,ET01,37.985000,13.957023
1649,Yato Baheray,{6DFECDD2-2260-4F20-B291-684EFE53CE69},Asgede,ET010105,North Western,ET0101,Tigray,ET01,37.982700,13.956417
1650,Kes Eumu M|teuo,{884A4B6C-6733-48A1-A271-A078F31DD077},Asgede,ET010105,North Western,ET0101,Tigray,ET01,38.042338,13.984339
1651,Yato W/geberal,{7E5B27F4-2DC7-4BD9-9013-3F95509E62B9},Asgede,ET010105,North Western,ET0101,Tigray,ET01,37.982504,13.956024
1652,Yato Yamene IND|selase,{8022B9C0-EE6A-4256-B644-75DF592E617A},Asgede,ET010105,North Western,ET0101,Tigray,ET01,37.995374,14.078039
1653,Yato Seleman Eseman,{99D777D7-D400-47E5-A9F6-079F6F7EF65F},Asgede,ET010105,North Western,ET0101,Tigray,ET01,37.981733,13.959713
1654,Ato Yanshat Beserat IND|A|Argawe,{DD6DF2FA-7946-44AA-9A45-512B4DC2AFE7},Asgede,ET010105,North Western,ET0101,Tigray,ET01,37.955774,13.965538
1655,Yato G/medhen,{2FF6D378-DEDB-436B-99E4-648BEAD588B7},Asgede,ET010105,North Western,ET0101,Tigray,ET01,37.981828,13.958020
1656,Kebele Lemate,{BA1DB11F-AE01-4415-A7D3-F58C845A29E2},Asgede,ET010105,North Western,ET0101,Tigray,ET01,37.982569,13.957756
1657,Yato G/hewat G/hed M|teuo,{8EBBE63E-EC6A-4304-8AAF-CDBD42FD4728},Asgede,ET010105,North Western,ET0101,Tigray,ET01,38.037833,13.997685
1658,htsats police  post,{91AA2833-8E80-4720-B702-3B4507FA9D7E},Asgede,ET010105,North Western,ET0101,Tigray,ET01,37.961893,14.094142
1659,shambel gereziher  wefcho,{087A9BCA-B0C0-4BCD-A8D0-D4A697797109},Asgede,ET010105,North Western,ET0101,Tigray,ET01,37.961690,14.095073
1660,tsegay ftwi Wefcho,{7A740426-702E-4CB0-9A70-30D29637BEE4},Asgede,ET010105,North Western,ET0101,Tigray,ET01,38.097858,13.998528
1661,mekonen g/mariam,{03A08314-A214-4AFC-944E-1380292AE366},Asgede,ET010105,North Western,ET0101,Tigray,ET01,37.962082,14.094463
1662,Mebrahtom,{F239DA97-9A08-4257-8563-0AE784C57708},Asgede,ET010105,North Western,ET0101,Tigray,ET01,38.130652,13.981283
1663,G/amlak abrha  Wefcho,{D721339D-D6A1-443B-8572-9A96F676A933},Asgede,ET010105,North Western,ET0101,Tigray,ET01,37.942772,14.061315
1664,mayshak  police  post,{6622433F-4BB9-42A3-9A03-5DBA810363AB},Asgede,ET010105,North Western,ET0101,Tigray,ET01,38.114567,14.019307
1665,negasi atalay,{868773A6-4F27-4564-B835-05380BAAF9B9},Asgede,ET010105,North Western,ET0101,Tigray,ET01,38.116207,14.024458
1666,Haleka G/zgiher Kidane,{D3FBB804-912A-412B-B7A2-C4839A516F71},Asgede,ET010105,North Western,ET0101,Tigray,ET01,37.960973,14.097553
1667,YeG/hirAberha,{E48B3201-BF9F-4820-8351-EE646C798D38},Asgede,ET010105,North Western,ET0101,Tigray,ET01,37.956227,14.096603
1668,Hetsate,{AA4CEEAD-F2C6-4558-B3EE-8A988BFF61A7},Asgede,ET010105,North Western,ET0101,Tigray,ET01,37.959530,14.098318
1669,Ye W ro Gergesa G/lase,{EE5F1C66-6924-4504-9DEC-059F9557F1C4},Asgede,ET010105,North Western,ET0101,Tigray,ET01,37.960435,14.100055
1670,Ye Ato Guesh Welay,{58FAC6AF-E153-4212-8AAD-02F9BB3D830F},Asgede,ET010105,North Western,ET0101,Tigray,ET01,37.956933,14.098145
1671,Ye KisH/abe G/maryam Hetsate,{D13D800C-A879-414C-8780-8115E18CE3A6},Asgede,ET010105,North Western,ET0101,Tigray,ET01,37.958243,14.095457
1672,Ye AtoT/berhen G/hier,{F1D09408-4271-4A5D-BB36-CE7A1CC39E44},Asgede,ET010105,North Western,ET0101,Tigray,ET01,37.957837,14.099702
1673,berihu gebrihiwet haylu May Kolonkal,{F8B65380-1665-49DA-81A1-1956DA26FC48},Asgede,ET010105,North Western,ET0101,Tigray,ET01,38.097282,14.033505
1674,Kis Awethey G/mikal,{0C8D9965-F7FA-4A62-B174-A58FF236244F},Asgede,ET010105,North Western,ET0101,Tigray,ET01,37.962670,14.093308
1675,Ye G/tsadiek Sebhat Sebhatleab May Kolonkal,{3AD92F5B-F2FF-41B3-AE1B-414B64DA4FD6},Asgede,ET010105,North Western,ET0101,Tigray,ET01,38.114222,14.020878
1676,Hetsate,{A67FD0DE-70D0-4F29-978D-193D97559522},Asgede,ET010105,North Western,ET0101,Tigray,ET01,37.960523,14.094773
1677,Humerit yeG/amlak  Aberha,{B8414722-4166-48B5-ADB3-9D763259E96E},Asgede,ET010105,North Western,ET0101,Tigray,ET01,37.943879,14.062529
1678,Ye  Berihu Welu G/yesus May Kolonkal,{3FCA2639-C605-4511-B3A0-512C3F053D1E},Asgede,ET010105,North Western,ET0101,Tigray,ET01,38.114978,14.022542
1679,May Sake,{7E9D98AE-0B12-4202-99AB-18DB6AD7D1BC},Asgede,ET010105,North Western,ET0101,Tigray,ET01,38.114582,14.019428
1680,Yato Hagos G/tsedeke,{1C7CDC84-9ABA-4DAA-84DB-B0E070D79AF0},Asgede,ET010105,North Western,ET0101,Tigray,ET01,38.042400,14.088136
1681,Kebele May Berbera,{A3F457C1-B746-459B-AE99-0512D3ED8703},Asgede,ET010105,North Western,ET0101,Tigray,ET01,38.040738,14.088042
1682,Yato Tsegab Hayla A|G|maryam,{C8691AD4-59BA-4689-BCE2-B47C57323716},Asgede,ET010105,North Western,ET0101,Tigray,ET01,38.033823,14.103078
1683,Nguse Kahsay,{1EE7C7EA-AC6C-4F8D-941A-49D814DA86FD},Asgede,ET010105,North Western,ET0101,Tigray,ET01,38.033873,14.050132
1684,Gdey Gerlase,{1F329C04-374E-4AA2-B8F4-7C3A94F3EFFD},Asgede,ET010105,North Western,ET0101,Tigray,ET01,38.034418,14.047577
1685,hbret,{19E78FAF-4942-48FE-8999-2A29430B1252},Asgede,ET010105,North Western,ET0101,Tigray,ET01,38.032322,14.048658
1686,BERHE FETE,{58469E17-6F17-415D-A03E-2C5821A47835},Asgede,ET010105,North Western,ET0101,Tigray,ET01,38.032277,14.046020
1687,Awo Ye T/brhan Amare,{D6975849-94E6-4DB1-9D96-160E359F93B7},Asgede,ET010105,North Western,ET0101,Tigray,ET01,37.993548,14.117043
1688,Ye AtoZeray Negash,{4449408E-96F0-4DD5-A1D7-9CB4E219248D},Asgede,ET010105,North Western,ET0101,Tigray,ET01,37.989255,14.115310
1689,Kushaba Ye Kis Kiros Hagos  Berhe,{2C85014C-D232-4EC9-8D1A-D85CB400F176},Asgede,ET010105,North Western,ET0101,Tigray,ET01,37.993165,14.112692
1690,Ye   LegesaW/hareyat May Tsetser,{F257FEF2-8325-49F7-BA6F-5747B4C6DDA0},Asgede,ET010105,North Western,ET0101,Tigray,ET01,37.951223,14.082662
1691,Awo YeAto Gidey Mekonen,{BF071E93-C27D-4359-84CF-51AA4F9C4A41},Asgede,ET010105,North Western,ET0101,Tigray,ET01,37.988435,14.115632
1692,Awo Ye Ato Hadego G yesuse G chal,{966ABB81-20AA-4019-9DE3-5D5C2DE27F02},Asgede,ET010105,North Western,ET0101,Tigray,ET01,37.987135,14.114788
1693,Ye May Tsetser,{3E4D34B5-FD2D-4E23-BF89-A8C662559C2B},Asgede,ET010105,North Western,ET0101,Tigray,ET01,37.913762,14.064812
1694,shewit  desaley wefchobet,{41D9DEBD-65CC-489A-84BD-F53709E6C371},Asgede,ET010105,North Western,ET0101,Tigray,ET01,37.927567,14.085617
